ptp_trunk,condition,border_dist,new_pa_status,accuracy_type,new_pa_img_row_number_across_sessions,correct_mean,correct_sd,correct_n,ci_95,y_hat_i_c_ml
5c9a698...,schema_c,3_4,far_pa,mouse_error,8,36.21421994966204,NA,1,NA,45.85476000968606
5c9a698...,schema_c,3_4,far_pa,correct_exact,1,0,NA,1,NA,0.249983010526961
5c9a698...,schema_c,3_4,far_pa,correct_exact,2,0,NA,1,NA,0.2499828552864927
5c9a698...,schema_c,3_4,far_pa,correct_exact,3,1,NA,1,NA,0.24998270004599224
5c9a698...,schema_c,3_4,far_pa,correct_exact,4,0,NA,1,NA,0.24998254480545945
5c9a698...,schema_c,3_4,far_pa,correct_exact,5,0,NA,1,NA,0.2499823895648947
5c9a698...,schema_c,3_4,far_pa,correct_exact,6,1,NA,1,NA,0.24998223432429784
5c9a698...,schema_c,3_4,far_pa,correct_exact,7,0,NA,1,NA,0.24998207908366882
5c9a698...,schema_c,3_4,far_pa,correct_exact,8,0,NA,1,NA,0.24998192384300763
5c9a698...,schema_c,3_4,far_pa,correct_one_square_away,1,0,NA,1,NA,3.90617470844258e-6
5c9a698...,schema_c,3_4,far_pa,correct_one_square_away,2,0,NA,1,NA,0.20987345787323472
5c9a698...,schema_c,3_4,far_pa,correct_one_square_away,3,1,NA,1,NA,0.37569760879258995
5c9a698...,schema_c,3_4,far_pa,correct_one_square_away,4,0,NA,1,NA,0.5067201835566749
5c9a698...,schema_c,3_4,far_pa,correct_one_square_away,5,0,NA,1,NA,0.6102450018815938
5c9a698...,schema_c,3_4,far_pa,correct_one_square_away,6,1,NA,1,NA,0.692043028126345
5c9a698...,schema_c,3_4,far_pa,correct_one_square_away,7,1,NA,1,NA,0.7566740722160544
5c9a698...,schema_c,3_4,far_pa,correct_one_square_away,8,1,NA,1,NA,0.8077409750729434
5c9a698...,schema_c,3_4,near_pa,mouse_error,1,223.91849974398224,111.95008918373367,2,155.1549077438634,222.97943188031
5c9a698...,schema_c,3_4,near_pa,mouse_error,2,40.62656246995308,NA,2,NA,47.41726899772769
5c9a698...,schema_c,3_4,near_pa,mouse_error,3,20.74504209347849,5.1995654161777125,2,7.206230011404535,10.083429580221344
5c9a698...,schema_c,3_4,near_pa,mouse_error,4,24.74660457191907,11.530834651474631,2,15.980921494605122,2.1442726299600947
5c9a698...,schema_c,3_4,near_pa,mouse_error,5,11.355226409347356,8.470046624571834,2,11.738885714193904,0.45598623712459624
5c9a698...,schema_c,3_4,near_pa,mouse_error,6,10.11874654240412,11.444254464956176,2,15.860927478078072,0.09696689009686142
